player_name,saison,competition_type,competition,club,games_played,goals,assists,owngoals,substitute_in,substitute_out,yellow_cards,yellow_red_cards,red_cards,penalties,minutes_played
Lionel Messi,11/12,Internationale Pokalwettbewerbe,UEFA Super Cup,FC Barcelona,1,1,1,0,0,0,0,0,0,0,90'
Lionel Messi,10/11,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,13,12,4,0,2,0,0,0,0,1,1.048'
Lionel Messi,09/10,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,11,8,0,0,0,1,0,0,0,0,986'
Lionel Messi,09/10,Internationale Pokalwettbewerbe,FIFA Klub-WM,FC Barcelona,2,2,0,0,1,0,1,0,0,0,157'
Lionel Messi,09/10,Internationale Pokalwettbewerbe,UEFA Super Cup,FC Barcelona,1,0,1,0,0,0,1,0,0,0,120'
Lionel Messi,08/09,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,12,9,5,0,2,1,1,0,0,0,927'
Lionel Messi,07/08,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,9,6,2,0,0,3,2,0,0,1,726'
Lionel Messi,06/07,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,5,1,0,0,1,0,1,0,0,0,385'
Lionel Messi,06/07,Internationale Pokalwettbewerbe,UEFA Super Cup,FC Barcelona,1,0,0,0,0,0,0,0,0,0,90'
Lionel Messi,05/06,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,6,1,2,0,2,2,0,0,0,0,322'
Lionel Messi,04/05,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,1,0,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,24/25,Nationale Ligen,Saudi Pro League,Al-Nassr FC,12,10,2,0,0,1,1,0,0,5,1.073'
Christiano Ronaldo,23/24,Nationale Ligen,Saudi Pro League,Al-Nassr FC,31,35,11,0,1,5,2,0,0,8,2.648'
Christiano Ronaldo,22/23,Nationale Ligen,Saudi Pro League,Al-Nassr FC,16,14,2,0,0,1,3,0,0,5,1.434'
Christiano Ronaldo,22/23,Nationale Ligen,Premier League,Manchester United,10,1,0,0,6,1,2,0,0,0,520'
Christiano Ronaldo,21/22,Nationale Ligen,Premier League,Manchester United,30,18,3,0,3,6,8,0,0,3,2.459'
Christiano Ronaldo,21/22,Nationale Ligen,Serie A,Juventus Turin,1,0,0,0,1,0,1,0,0,0,30'
Christiano Ronaldo,20/21,Nationale Ligen,Serie A,Juventus Turin,33,29,2,0,2,3,3,0,0,6,2.803'
Christiano Ronaldo,19/20,Nationale Ligen,Serie A,Juventus Turin,33,31,6,0,0,2,3,0,0,12,2.919'
Christiano Ronaldo,18/19,Nationale Ligen,Serie A,Juventus Turin,31,21,9,0,1,2,3,0,0,5,2.689'
Christiano Ronaldo,17/18,Nationale Ligen,LaLiga,Real Madrid,27,26,5,0,0,7,1,0,0,3,2.297'
Christiano Ronaldo,16/17,Nationale Ligen,LaLiga,Real Madrid,29,25,6,0,0,5,4,0,0,6,2.544'
Christiano Ronaldo,15/16,Nationale Ligen,LaLiga,Real Madrid,36,35,11,0,0,3,2,0,0,6,3.184'
Christiano Ronaldo,14/15,Nationale Ligen,LaLiga,Real Madrid,35,48,17,0,0,3,4,0,1,10,3.099'
Christiano Ronaldo,13/14,Nationale Ligen,LaLiga,Real Madrid,30,31,11,0,0,3,4,0,1,6,2.540'
Christiano Ronaldo,12/13,Nationale Ligen,LaLiga,Real Madrid,34,34,11,1,4,5,9,0,0,6,2.717'
Christiano Ronaldo,11/12,Nationale Ligen,LaLiga,Real Madrid,38,46,12,0,1,2,4,0,0,12,3.354'
Christiano Ronaldo,10/11,Nationale Ligen,LaLiga,Real Madrid,34,40,13,0,2,1,2,0,0,8,2.913'
Christiano Ronaldo,09/10,Nationale Ligen,LaLiga,Real Madrid,29,26,9,0,1,4,3,1,1,4,2.465'
Christiano Ronaldo,08/09,Nationale Ligen,Premier League,Manchester United,33,18,7,0,2,5,5,1,0,4,2.745'
Christiano Ronaldo,07/08,Nationale Ligen,Premier League,Manchester United,34,31,7,0,3,4,5,0,1,4,2.747'
Christiano Ronaldo,06/07,Nationale Ligen,Premier League,Manchester United,34,17,8,0,3,11,2,0,0,3,2.788'
Christiano Ronaldo,05/06,Nationale Ligen,Premier League,Manchester United,33,9,6,0,9,10,8,0,1,0,2.286'
Christiano Ronaldo,04/05,Nationale Ligen,Premier League,Manchester United,33,5,4,0,8,9,3,0,0,0,2.425'
Christiano Ronaldo,03/04,Nationale Ligen,Premier League,Manchester United,29,4,4,0,14,6,3,1,0,0,1.551'
Christiano Ronaldo,02/03,Nationale Ligen,Liga Portugal,Sporting Lissabon,25,3,5,0,14,8,1,0,0,0,1.069'
Christiano Ronaldo,24/25,Nationale Pokalwettbewerbe,King's Cup,Al-Nassr FC,1,0,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,24/25,Nationale Pokalwettbewerbe,Saudi Super Cup,Al-Nassr FC,2,2,1,0,0,1,0,0,0,0,171'
Christiano Ronaldo,23/24,Nationale Pokalwettbewerbe,King's Cup,Al-Nassr FC,4,3,0,0,0,1,1,0,0,0,412'
Christiano Ronaldo,23/24,Nationale Pokalwettbewerbe,Saudi Super Cup,Al-Nassr FC,1,0,0,0,0,0,1,0,1,0,86'
Christiano Ronaldo,22/23,Nationale Pokalwettbewerbe,King's Cup,Al-Nassr FC,2,0,0,0,0,1,1,0,0,0,177'
Christiano Ronaldo,22/23,Nationale Pokalwettbewerbe,Saudi Super Cup,Al-Nassr FC,1,0,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,21/22,Nationale Pokalwettbewerbe,FA Cup,Manchester United,1,0,0,0,0,0,0,0,0,0,120'
Christiano Ronaldo,20/21,Nationale Pokalwettbewerbe,Coppa Italia,Juventus Turin,4,2,0,0,1,1,1,0,0,1,288'
Christiano Ronaldo,20/21,Nationale Pokalwettbewerbe,Supercoppa Italiana,Juventus Turin,1,1,0,0,0,0,1,0,0,0,90'
Christiano Ronaldo,19/20,Nationale Pokalwettbewerbe,Coppa Italia,Juventus Turin,4,2,0,0,0,0,0,0,0,1,360'
Christiano Ronaldo,19/20,Nationale Pokalwettbewerbe,Supercoppa Italiana,Juventus Turin,1,0,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,18/19,Nationale Pokalwettbewerbe,Coppa Italia,Juventus Turin,2,0,0,0,1,0,0,0,0,0,118'
Christiano Ronaldo,18/19,Nationale Pokalwettbewerbe,Supercoppa Italiana,Juventus Turin,1,1,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,17/18,Nationale Pokalwettbewerbe,Supercopa,Real Madrid,1,1,0,0,1,0,0,1,0,0,24'
Christiano Ronaldo,16/17,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,2,1,0,0,0,0,0,0,0,0,180'
Christiano Ronaldo,14/15,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,2,1,0,0,1,0,0,0,0,0,117'
Christiano Ronaldo,14/15,Nationale Pokalwettbewerbe,Supercopa,Real Madrid,2,0,0,0,1,1,1,0,0,0,90'
Christiano Ronaldo,13/14,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,6,3,1,0,0,2,2,0,0,2,497'
Christiano Ronaldo,12/13,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,7,7,1,0,0,0,3,0,1,1,655'
Christiano Ronaldo,12/13,Nationale Pokalwettbewerbe,Supercopa,Real Madrid,2,2,0,0,0,0,0,0,0,0,180'
Christiano Ronaldo,11/12,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,5,3,0,0,0,1,1,0,0,0,438'
